===== Starting battle of <RussianRoulette> vs <Geronimo> with memory tape size: 19 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 83< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 83< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 82< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 82< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 81< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 81< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 80< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 80< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 79< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 79< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 78< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 78< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 77< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 77< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 76< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 76< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 75< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 75< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 74< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 74< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 73< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 73< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 72< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 72< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 71< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 71< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 70< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 70< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 69< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 69< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 68< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 68< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 67< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 67< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 66< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 66< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 65< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 65< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 64< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 64< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 63< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 63< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 62< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 62< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 61< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 61< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 60< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 60< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 59< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 59< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 58< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 58< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 57< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 57< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 56< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 56< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 55< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 55< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 54< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 54< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 53< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 53< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 52< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 52< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 51< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 51< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 50< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 50< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 49< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 49< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 48< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 48< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 47< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 47< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 46< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 46< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 45< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 45< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 44< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 44< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 43< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 43< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 42< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 42< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 41< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 41< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 40< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 40< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 39< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 39< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 38< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 38< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 37< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 37< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 36< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 36< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 35< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 35< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 34< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 34< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 33< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 33< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 32< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 32< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 31< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 31< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 30< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 30< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 29< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 29< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 28< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 28< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 27< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 27< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 26< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 26< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 25< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 25< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 24< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 24< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 23< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 23< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 22< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 22< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 21< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 21< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 20< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 20< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 19< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 19< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 18< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 18< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 17< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 17< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 16< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 16< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 15< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 15< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 14< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 14< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 13< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 13< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 12< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 12< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 11< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 11< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 10< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 10< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 9< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 9< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 8< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 8< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 7< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 7< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 6< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 6< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 5< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 5< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 4< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 4< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 3< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 3< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 2< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 2< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 1< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 1< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 0< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]
[ 0< | 0 | 0 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 128 ]

===== Geronimo won the battle after 781 cycles =====



===== Starting battle of <RussianRoulette> vs <Geronimo> with memory tape size: 15 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 128 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 128 ]
[ 128 | -1 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 128 ]
[ 128 | -1 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | >-1 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -1 | >0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -1 | >0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | >0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -1 | 0< | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -1 | 0< | -1 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -1< | 0 | -1 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -1< | 0 | -1 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -2< | 0 | -1 | 0 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -2< | 0 | -1 | 0 | -1 | >0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -3< | 0 | -1 | 0 | -1 | >0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -3< | 0 | -1 | 0 | -1 | 0 | >0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -4< | 0 | -1 | 0 | -1 | 0 | >-1 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -4< | 0 | -1 | 0 | -1 | 0 | -1 | >0 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -5< | 0 | -1 | 0 | -1 | 0 | -1 | >0 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -5< | 0 | -1 | 0 | -1 | 0 | -1 | >-1 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -6< | 0 | -1 | 0 | -1 | 0 | -1 | >-2 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -6< | 0 | -1 | 0 | -1 | 0 | -1 | >-3 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -7< | 0 | -1 | 0 | -1 | 0 | -1 | >-4 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -7< | 0 | -1 | 0 | -1 | 0 | -1 | >-5 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -8< | 0 | -1 | 0 | -1 | 0 | -1 | >-6 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -8< | 0 | -1 | 0 | -1 | 0 | -1 | >-7 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -9< | 0 | -1 | 0 | -1 | 0 | -1 | >-8 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -9< | 0 | -1 | 0 | -1 | 0 | -1 | >-9 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -10< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -10< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -11< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -11< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -12< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -12< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -13< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -13< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -14< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -14< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -15< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -15< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -16< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -16< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -17< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -17< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -18< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -18< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -19< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -19< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -20< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -20< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -21< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -21< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -22< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -22< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -23< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -23< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -24< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -24< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -25< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -25< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -26< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -26< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 0 | -27< | 0 | -1 | 0 | -1 | 0 | -1 | >-10 | 0 | 0 | 0 | 128 ]
