===== Starting battle of <TimedAttack> vs <SeeSawRush> with memory tape size: 21 =====

[ >79 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2< | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >78 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3< | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >77 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4< | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >76 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5< | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >74 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >73 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >72 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >71 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >70 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >69 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >68 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >67 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >66 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >65 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >64 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >63 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >62 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >61 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >60 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >59 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >58 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >57 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >56 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >55 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >54 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >53< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >52< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >52< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >52< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >52< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >52< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >51< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >49< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >48< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >46< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >45< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >43< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >42< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >40< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >39< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >37< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >36< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >34< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >33< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >31< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >30< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >28< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >27< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >25< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >24< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >22< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >21< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >19< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >18< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >16< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >15< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >13< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >12< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >10< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >9< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >7< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >6< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >4< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >3< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >1< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-2< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-3< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-5< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-6< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-8< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-9< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-11< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-12< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-14< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-15< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-17< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-18< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-20< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-21< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-23< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-24< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-26< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-27< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-29< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-30< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-32< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-33< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-35< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-36< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-38< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-39< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-41< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-42< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-44< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-45< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-47< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-48< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-50< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-51< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-53< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-54< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-56< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-57< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-59< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-60< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
[ >-62< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | -5 | 5 | -5 | -6 | 5 | -4 | 3 | 128 ]
