===== Starting battle of <DontUnderstand> vs <PatientBot> with memory tape size: 14 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 128 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 128 ]
[ 128 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 0 | 128 ]
[ 128 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | -1< | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | >0 | 0 | 0 | 0< | -1 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | >0 | 0 | 1< | -1 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >0< | 1 | -1 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | >1 | -1 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 1 | 1 | >-1 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 1 | 1 | >-2 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 1 | 1 | >-3 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | -1< | -1 | 1 | 1 | -3 | >-1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0< | -1 | -1 | 1 | 1 | -3 | -1 | >0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 1< | -1 | -1 | 1 | 1 | -3 | -1 | >1 | 128 ]
[ 128 | 0 | 0 | 0 | 0< | 1 | -1 | -1 | 1 | 1 | -3 | -1 | 1 | >128 ]
[ 128 | 0 | 0 | 0 | -1< | 1 | -1 | -1 | 1 | 1 | -3 | -1 | 1 | >127 ]
[ >128 | 0 | 0 | 0< | -1 | 1 | -1 | -1 | 1 | 1 | -3 | -1 | 1 | 127 ]

===== PatientBot won the battle after 18 cycles =====



===== Starting battle of <DontUnderstand> vs <PatientBot> with memory tape size: 18 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 1 | -3 | -1 | 2 | 0 | >-1 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 1< | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 1< | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 1< | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 1< | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 1< | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 1< | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 1< | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 1< | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 1< | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 1< | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 1< | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 1< | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ -127< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ -127< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 128< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 127< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 127< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 127 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 1 | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1< | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1< | -3 | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3< | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3< | -1 | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1< | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1< | 2 | 0 | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2< | 0 | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2< | 0 | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 0< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 1< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 2< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 3< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 4< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 5< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 6< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 7< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 8< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 9< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 10< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 11< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 12< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 13< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 14< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 15< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 16< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 17< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 18< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 19< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 20< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 21< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 22< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 23< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 24< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 25< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 26< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 27< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 28< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 29< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 30< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 31< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 32< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 33< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 34< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 35< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 36< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 37< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 38< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 39< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 40< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 41< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 42< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 43< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 44< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 45< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 46< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 47< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 48< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 49< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 50< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 51< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 52< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 53< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 54< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 55< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 56< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 57< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 58< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 59< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 60< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 61< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 62< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 63< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 64< | >0 | -1 | 0 | 128 ]
[ 127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 1 | -3 | -1 | 2 | 65< | >0 | -1 | 0 | 128 ]
